GENESIS-Tabelle: Temporär
Gestorbene: Deutschland, Jahre, Todesursachen, Geschlecht,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Todesursachenstatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gestorbene (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
1996;Bösartige Neubildungen (BN);9;169;107;157;262;486;753;1593;3104;5741;11253;13853;17756;16534;12631;12701;11452;-;10;144;72;100;243;539;1071;1706;2849;4241;7306;8195;11260;15345;13958;17211;20077;-
1997;Bösartige Neubildungen (BN);17;185;100;131;253;448;769;1614;3119;5276;11018;13998;17530;16524;13967;11330;11339;-;10;145;67;85;207;481;1031;1747;2833;3880;7232;8340;10740;14661;15600;15349;20064;-
1998;Bösartige Neubildungen (BN);8;167;98;149;200;448;773;1598;3127;4774;10723;14648;17150;17505;15776;9847;11839;-;9;122;81;76;191;450;1046;1685;2883;3714;6997;8737;10351;14396;17460;13824;21896;-
1999;Bösartige Neubildungen (BN);7;217;111;145;191;374;822;1590;3180;4885;10070;14721;16682;18416;16357;8679;11825;-;9;122;61;94;205;462;978;1694;2769;3671;6668;9096;9961;14216;18095;12103;22361;-
2000;Bösartige Neubildungen (BN);11;180;91;102;193;382;767;1530;3042;4971;9370;15454;16968;19468;16366;9277;11453;-;5;144;50;89;159;453;988;1662;2751;3733;6294;9422;10101;13627;17751;12283;21601;-
2001;Bösartige Neubildungen (BN);8;173;93;114;144;315;689;1524;2952;5064;8388;15405;16709;19574;16127;10242;10852;-;8;151;84;65;135;372;916;1606;2682;4040;5626;9496;10241;13204;16963;13483;20174;-
2002;Bösartige Neubildungen (BN);7;137;84;115;165;306;699;1496;3067;5297;7970;15305;17446;19576;16206;11758;10235;-;12;131;53;87;129;400;875;1616;2777;4162;5346;9366;10606;12943;16667;15578;19426;-
2003;Bösartige Neubildungen (BN);11;166;76;126;134;339;691;1445;3022;5314;7625;14668;18231;19103;17314;12848;9590;-;5;126;66;76;127;327;848;1658;2714;4242;5249;9055;11113;12624;15733;16721;17868;-
2004;Bösartige Neubildungen (BN);13;146;90;106;151;274;634;1452;2867;5247;7281;13993;19004;18655;18549;13607;8943;-;11;120;80;82;128;320;771;1582;2759;4125;5205;8618;11579;12197;15944;17629;17166;-
2005;Bösartige Neubildungen (BN);6;163;83;118;162;255;569;1481;2922;5198;7473;12630;19206;18777;19479;13934;9610;-;4;122;47;61;131;251;744;1666;2740;4104;5362;8307;11919;12357;15696;17482;18337;-
2006;Bösartige Neubildungen (BN);8;147;81;113;143;243;562;1352;2847;5173;8124;11383;19428;19471;19627;13900;10159;-;10;109;59;66;129;245;711;1499;2683;4123;5575;7499;11930;12602;15343;17319;18860;-
2007;Bösartige Neubildungen (BN);11;153;85;132;149;227;508;1381;2867;5123;7890;10672;19187;19678;19810;14519;11013;-;11;101;53;79;123;267;640;1507;2730;4141;5835;7012;11993;12984;14759;16686;19439;-
2008;Bösartige Neubildungen (BN);9;143;92;120;138;225;474;1249;2896;5133;8240;10661;18830;21176;19736;15632;11432;-;8;105;55;82;123;240;657;1461;2780;4098;5988;7155;11912;13980;14635;16391;20154;-
2009;Bösartige Neubildungen (BN);14;129;71;92;158;224;428;1199;2730;5127;8332;10337;17995;21967;19332;16503;12073;-;9;110;54;74;147;266;550;1423;2774;4162;5950;7005;11609;14468;14347;16311;20158;-
2010;Bösartige Neubildungen (BN);11;106;80;111;158;248;447;1050;2667;5213;8181;10635;16549;22796;19836;17361;12753;-;9;86;52;71;153;256;558;1334;2680;4196;5838;7343;10658;15047;14811;16457;21138;-
2011;Bösartige Neubildungen (BN);15;135;70;135;125;212;345;986;2639;5060;8319;11229;15055;22884;20844;17929;13773;-;7;106;53;79;121;278;487;1293;2690;4251;6085;8107;9816;15384;15157;16113;21809;-
2012;Bösartige Neubildungen (BN);7;136;73;109;137;218;370;980;2544;5073;8191;11581;13914;22759;21315;18160;14513;-;15;82;46;63;130;232;488;1211;2558;4406;5992;7922;9314;15257;15736;15922;22157;-
2013;Bösartige Neubildungen (BN);8;117;60;95;142;203;350;873;2430;5119;8108;11940;13814;22387;22591;17954;15557;-;4;103;60;72;125;270;486;1101;2481;4441;6042;8161;9195;14949;16506;15605;22493;-
2014;Bösartige Neubildungen (BN);7;126;66;85;137;218;319;810;2272;4955;8151;11837;13125;21348;23633;17772;16905;-;5;95;50;61;119;245;475;973;2308;4358;5968;8142;9003;14293;17531;15194;23172;-
2015;Bösartige Neubildungen (BN);3;118;71;100;163;233;344;781;2139;4787;8193;11994;13965;19606;24453;18320;17646;-;7;86;38;68;106;254;453;891;2273;4311;6194;8274;9601;13458;18049;15978;23380;-
_____
Todesursachen:
Die ausgewählten Todesursachen ermöglichen einen zeitlichen
Vergleich nach der Umstellung der ICD-Systematik(1980-1997
ICD9, ab 1998 ICD-10).
'Insgesamt' enthält die Angaben zu allen Gestorbenen eines
Berichtsjahres.
_____
(C)opyright Statistisches Bundesamt (Destatis), 2018
Stand: 30.01.2018 / 14:35:18
